,word,lemma,pos,nmb_text,nmb_sent,nmb_word
666,не,не,PRCL,7,2,15
667,должен,должный,ADJS,7,2,16
668,подавать,подавать,INFN,7,2,17
669,совета,совет,NOUN,7,2,18
670,'','',,7,2,19
671,данте,данте,NOUN,7,3,1
672,алигьери,алигьерь,NOUN,7,3,2
673,``,``,,7,3,3
674,божественная,божественный,ADJF,7,3,4
675,комедия,комедия,NOUN,7,3,5
676,'','',,7,3,6
677,вместо,вместо,PREP,7,4,1
678,вступления,вступление,NOUN,7,4,2
679,он,он,NPRO,7,4,3
680,запомнил,запомнить,VERB,7,4,4
681,эту,этот,ADJF,7,4,5
682,встречу,встреча,NOUN,7,4,6
683,на,на,PREP,7,4,7
684,всю,весь,ADJF,7,4,8
685,жизнь,жизнь,NOUN,7,4,9
686,его,он,NPRO,7,5,1
687,привезли,привезти,VERB,7,5,2
688,на,на,PREP,7,5,3
689,подмосковную,подмосковный,ADJF,7,5,4
690,дачу,дача,NOUN,7,5,5
691,специально,специально,ADVB,7,5,6
692,предназначенную,предназначить,PRTF,7,5,7
693,для,для,PREP,7,5,8
694,таких,такой,ADJF,7,5,9
695,агентов,агент,NOUN,7,5,10
696,как,как,CONJ,7,5,11
697,он,он,NPRO,7,5,12
698,именно,именно,PRCL,7,6,1
699,отсюда,отсюда,ADVB,7,6,2
700,он,он,NPRO,7,6,3
701,должен,должный,ADJS,7,6,4
702,был,быть,VERB,7,6,5
703,уезжать,уезжать,INFN,7,6,6
704,в,в,PREP,7,6,7
705,аэропорт,аэропорт,NOUN,7,6,8
706,всё,всё,PRCL,7,7,1
707,было,быть,VERB,7,7,2
708,обговорено,обговорить,PRTS,7,7,3
709,всё,всё,PRCL,7,7,4
710,было,быть,VERB,7,7,5
711,решено,решить,PRTS,7,7,6
712,оставалась,оставаться,VERB,7,8,1
713,эта,этот,ADJF,7,8,2
714,последняя,последний,ADJF,7,8,3
715,встреча,встреча,NOUN,7,8,4
716,после,после,PREP,7,9,1
717,которой,который,ADJF,7,9,2
718,он,он,NPRO,7,9,3
